currency,estruct,ecase,geo\time	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 
EUR,FAM,A1_2CH_67,EU25	: 	1438.82 	1564.51 	1520.94 	1521.01 	1514.77 	1486.42 	1456.05 	1370.70 	1329.84 	1327.72 	1298.30 	1306.73 	1263.29 	: 	: 	: 	: 	: 	: 
EUR,FAM,A1_2CH_67,EU27	: 	1396.75 	1501.86 	1461.59 	1469.38 	1461.03 	1423.73 	1400.98 	1310.57 	1278.97 	1267.17 	1242.67 	1248.22 	1206.72 	: 	: 	: 	: 	: 	: 
EUR,FAM,A1_2CH_67,EU28	: 	1388.22 	1486.64 	1446.94 	1454.24 	1443.57 	1428.04 	1456.35 	1442.37 	1441.69 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,FAM,A1_2CH_67,FI	3797.04 	3797.04 	3797.04 	3659.10 	3644.40 	3644.40 	3644.40 	3404.40 	3404.40 	3404.40 	3404.40 	3212.40 	3212.40 	3213.06 	: 	: 	: 	: 	: 	: 
EUR,FAM,A1_2CH_67,FR	1549.74 	1538.22 	1524.50 	1509.37 	1487.01 	1487.01 	1422.41 	1429.82 	1381.06 	1381.06 	1350.99 	1350.99 	1321.88 	1286.06 	: 	: 	: 	: 	: 	: 
EUR,FAM,A1_2CH_67,HR	: 	: n	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,FAM,A1_2CH_67,HU	1150.59 	1196.48 	1228.00 	1271.43 	1289.39 	1267.08 	1412.27 	1317.68 	1180.66 	754.69 	712.87 	666.35 	614.09 	505.09 	: 	: 	: 	: 	: 	: 
EUR,FAM,A1_2CH_67,IE	9162.49 	9631.97 	9954.84 	10031.77 	10015.36 	10232.70 	9074.30 	8806.46 	9525.60 	6784.51 	5959.42 	5105.84 	4372.16 	1955.40 	: 	: 	: 	: 	: 	: 
EUR,FAM,A1_2CH_67,IS	3673.50 	3327.91 	2522.22 	2686.25 	2780.04 	2911.55 	3412.59 	4812.26 	4759.90 	5081.61 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,FAM,A1_2CH_67,IT	2631.96 	2631.96 	2619.00 	2592.96 	2606.04 	2670.96 	2645.04 	2697.00 	1977.00 	1977.00 	1977.00 	1977.00 	1977.00 	1977.00 	: 	: 	: 	: 	: 	: 
EUR,FAM,A1_2CH_67,JP	1710.50 	1850.99 	2341.69 	2649.60 	2271.16 	920.67 	787.14 	744.19 	821.81 	438.44 	446.30 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,FAM,A1_2CH_67,LT	: 	1355.42 	1716.87 	1716.87 	1716.87 	1716.87 	1716.87 	361.45 	347.54 	347.54 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,FAM,A1_2CH_67,LU	7521.72 	7521.72 	7521.72 	7521.72 	7521.72 	7521.72 	7521.72 	5676.72 	5676.72 	5529.12 	5437.14 	5326.64 	5271.84 	4437.10 	: 	: 	: 	: 	: 	: 
EUR,FAM,A1_2CH_67,LV	: 	1471.13 	275.35 	271.84 	270.92 	272.07 	300.56 	301.67 	227.52 	227.52 	238.12 	247.23 	193.12 	200.32 	: 	179.35 	169.94 	170.15 	156.87 	: 
